ap_index_nT,f10.7_index,Timestamp
16.83297,188.42477,2000-08-03 19:51:10
17.096094,188.07349,2000-08-03 19:51:10
16.853516,188.90561,2000-08-03 19:51:10
16.870438,188.69678,2000-08-03 20:01:10
16.86396,188.8153,2000-08-03 20:01:10
17.08614,188.72052,2000-08-03 20:01:10
16.87844,188.9871,2000-08-03 20:11:10
16.777857,188.81062,2000-08-03 20:11:10
16.847305,188.37222,2000-08-03 20:11:10
16.799686,188.2209,2000-08-03 20:21:10
16.901632,188.70644,2000-08-03 20:21:10
16.924587,188.74966,2000-08-03 20:21:10
16.752237,188.70052,2000-08-03 20:31:10
16.67828,188.57753,2000-08-03 20:31:10
16.873388,188.70528,2000-08-03 20:31:10
16.570518,188.29724,2000-08-03 20:41:10
16.589375,188.8692,2000-08-03 20:41:10
16.713749,188.65302,2000-08-03 20:41:10
16.714485,188.26791,2000-08-03 20:51:10
16.63181,188.59851,2000-08-03 20:51:10
16.653399,188.77951,2000-08-03 20:51:10
16.706451,188.64975,2000-08-03 21:01:10
17.012949,189.00854,2000-08-03 21:01:10
16.56908,188.53569,2000-08-03 21:01:10
16.667477,188.87334,2000-08-03 21:11:10
16.665176,188.8671,2000-08-03 21:11:10
16.551767,188.94814,2000-08-03 21:11:10
16.761848,188.70296,2000-08-03 21:21:10
16.560537,188.90521,2000-08-03 21:21:10
16.530323,188.63528,2000-08-03 21:21:10
16.672998,188.32199,2000-08-03 21:31:10
16.555302,188.82346,2000-08-03 21:31:10
16.547491,188.85571,2000-08-03 21:31:10
16.83347,188.9277,2000-08-03 21:41:10
16.94856,188.62733,2000-08-03 21:41:10
16.846962,189.1458,2000-08-03 21:41:10
16.827042,188.84032,2000-08-03 21:51:10
16.857218,188.6661,2000-08-03 21:51:10
16.731327,188.54877,2000-08-03 21:51:10
16.899345,188.35072,2000-08-03 22:01:10
16.692974,188.75537,2000-08-03 22:01:10
16.63998,188.272,2000-08-03 22:01:10
16.567032,188.91035,2000-08-03 22:11:10
16.65695,188.35873,2000-08-03 22:11:10
16.865612,189.46576,2000-08-03 22:11:10
16.502275,188.88037,2000-08-03 22:21:10
16.543743,188.48691,2000-08-03 22:21:10
16.824217,189.33237,2000-08-03 22:21:10
16.78751,188.95592,2000-08-03 22:31:10
16.620213,189.05814,2000-08-03 22:31:10
16.526611,189.0065,2000-08-03 22:31:10
16.573109,189.02713,2000-08-03 22:41:10
16.8098,188.56206,2000-08-03 22:41:10
16.787806,188.44312,2000-08-03 22:41:10
16.582403,188.61354,2000-08-03 22:51:10
16.551414,189.00543,2000-08-03 22:51:10
16.60904,189.24934,2000-08-03 22:51:10
16.486675,188.90955,2000-08-03 23:01:10
16.48198,188.9095,2000-08-03 23:01:10
16.708183,189.2509,2000-08-03 23:01:10
16.89069,188.7031,2000-08-03 23:11:10
16.73546,188.29144,2000-08-03 23:11:10
16.822823,188.79613,2000-08-03 23:11:10
16.810162,189.25278,2000-08-03 23:21:10
16.661673,188.81207,2000-08-03 23:21:10
16.864353,188.79678,2000-08-03 23:21:10
16.761095,188.96153,2000-08-03 23:31:10
16.601025,188.56448,2000-08-03 23:31:10
16.748535,188.84377,2000-08-03 23:31:10
16.712418,188.93954,2000-08-03 23:41:10
16.58593,188.47328,2000-08-03 23:41:10
16.568855,188.7981,2000-08-03 23:41:10
16.707954,188.29663,2000-08-03 23:51:10
16.708141,189.0091,2000-08-03 23:51:10
16.59664,189.41727,2000-08-03 23:51:10
16.67008,188.66034,2000-08-04 00:01:10
16.858257,188.15186,2000-08-04 00:01:10
16.889462,189.53683,2000-08-04 00:01:10
16.805773,188.81235,2000-08-04 00:11:10
16.655453,188.67448,2000-08-04 00:11:10
16.909447,188.63947,2000-08-04 00:11:10
16.563477,188.9353,2000-08-04 00:21:10
16.965076,188.60779,2000-08-04 00:21:10
16.886774,189.18832,2000-08-04 00:21:10
16.734716,188.30392,2000-08-04 00:31:10
16.851229,188.8711,2000-08-04 00:31:10
16.822578,188.9739,2000-08-04 00:31:10
16.690891,188.95152,2000-08-04 00:41:10
16.649548,188.76285,2000-08-04 00:41:10
16.618885,188.92346,2000-08-04 00:41:10
16.61897,188.7089,2000-08-04 00:51:10
16.65401,189.0801,2000-08-04 00:51:10
16.94721,188.61008,2000-08-04 00:51:10
16.668003,188.94235,2000-08-04 01:01:10
16.752344,188.90585,2000-08-04 01:01:10
16.524029,189.20343,2000-08-04 01:01:10
16.629715,189.4352,2000-08-04 01:11:10
16.81969,188.68114,2000-08-04 01:11:10
16.672192,189.01279,2000-08-04 01:11:10
16.750042,189.24374,2000-08-04 01:21:10
16.556662,189.01807,2000-08-04 01:21:10
16.384188,188.66295,2000-08-04 01:21:10
16.623081,188.69846,2000-08-04 01:31:10
16.204159,189.24193,2000-08-04 01:31:10
16.56641,188.9398,2000-08-04 01:31:10
16.42898,189.50742,2000-08-04 01:41:10
16.231163,188.72632,2000-08-04 01:41:10
16.353409,188.80528,2000-08-04 01:41:10
16.089092,188.95856,2000-08-04 01:51:10
16.309425,188.31064,2000-08-04 01:51:10
15.903207,189.16412,2000-08-04 01:51:10
16.136805,188.9725,2000-08-04 02:01:10
16.335445,189.04424,2000-08-04 02:01:10
16.413801,189.27808,2000-08-04 02:01:10
15.998121,188.81049,2000-08-04 02:11:10
16.17234,188.94202,2000-08-04 02:11:10
16.03113,188.98619,2000-08-04 02:11:10
16.105503,188.69307,2000-08-04 02:21:10
15.675787,189.2674,2000-08-04 02:21:10
15.974859,189.01132,2000-08-04 02:21:10
16.07909,189.24084,2000-08-04 02:31:10
15.522995,188.9617,2000-08-04 02:31:10
15.919239,189.39008,2000-08-04 02:31:10
16.114464,188.733,2000-08-04 02:41:10
15.928434,189.04666,2000-08-04 02:41:10
16.108868,189.0574,2000-08-04 02:41:10
15.871971,188.81612,2000-08-04 02:51:10
15.867365,188.85818,2000-08-04 02:51:10
15.754605,188.82547,2000-08-04 02:51:10
15.9631195,188.65521,2000-08-04 03:01:10
16.26897,189.31096,2000-08-04 03:01:10
16.076172,188.4769,2000-08-04 03:01:10
15.974403,189.3245,2000-08-04 03:11:10
15.740874,189.56332,2000-08-04 03:11:10
16.030903,188.37196,2000-08-04 03:11:10
16.082289,189.1414,2000-08-04 03:21:10
16.057701,189.09503,2000-08-04 03:21:10
16.140003,189.29648,2000-08-04 03:21:10
16.127958,188.91248,2000-08-04 03:31:10
16.120613,188.79263,2000-08-04 03:31:10
16.12154,189.60976,2000-08-04 03:31:10
15.803486,188.8693,2000-08-04 03:41:10
16.094372,189.00491,2000-08-04 03:41:10
16.047142,188.86526,2000-08-04 03:41:10
15.730157,188.99193,2000-08-04 03:51:10
15.774326,189.35449,2000-08-04 03:51:10
15.558929,188.82278,2000-08-04 03:51:10
15.653419,188.93854,2000-08-04 04:01:10
15.776916,188.8523,2000-08-04 04:01:10
15.795617,188.5557,2000-08-04 04:01:10
15.703901,189.09421,2000-08-04 04:11:10
16.002073,188.97865,2000-08-04 04:11:10
15.844106,189.07396,2000-08-04 04:11:10
15.811989,189.16342,2000-08-04 04:21:10
16.113094,188.35623,2000-08-04 04:21:10
16.029556,189.04869,2000-08-04 04:21:10
15.883383,188.82932,2000-08-04 04:31:10
15.852879,188.79109,2000-08-04 04:31:10
15.679677,189.14485,2000-08-04 04:31:10
15.854435,189.13255,2000-08-04 04:41:10
15.844748,188.8151,2000-08-04 04:41:10
15.836529,189.3126,2000-08-04 04:41:10
15.870392,189.6517,2000-08-04 04:51:10
15.494785,188.89001,2000-08-04 04:51:10
